"ID","MonthlyIncome"
871,5962.16064454205
872,2395.80714407843
873,14651.7689623673
874,2458.30059235295
875,1654.45353142482
876,7043.62218428703
877,5646.70101731325
878,1960.17855993298
879,1931.73776067147
880,14860.165676149
881,11252.7237227125
882,2483.64171971742
883,6220.24926240165
884,6225.69997120421
885,6756.52457817722
886,6250.01856455451
887,5644.27436006022
888,6327.46754322751
889,5935.88009181422
890,2319.1682385363
891,5975.1265457566
892,9537.10508466686
893,9643.611116794
894,5949.87953431379
895,11068.544687427
896,9927.67791956112
897,10155.825728973
898,14123.6268129333
899,5921.06415520406
900,2331.52342710732
901,2513.46103968552
902,6715.80930797573
903,6452.02746766651
904,3015.49216322055
905,14784.7456593
906,5976.58970860797
907,10604.0203155702
908,6126.32526454622
909,2084.6164656191
910,2129.28353547231
911,18105.9280811742
912,2349.17330239255
913,2602.77448689646
914,9853.92480354791
915,6207.9321954299
916,5951.68341960957
917,2300.43685549797
918,5935.7468536965
919,1970.03824689763
920,2938.28885498588
921,2149.12232769441
922,2261.76364751643
923,6422.08929375185
924,6476.17325687673
925,15152.4834461577
926,2280.85772205155
927,6119.15100566889
928,9964.76170388448
929,1995.38190920608
930,2227.18069510777
931,6273.75881551367
932,9881.06327450154
933,10124.4051228463
934,2174.84262220197
935,2494.10493092442
936,2281.12999698014
937,10587.3343706484
938,10511.3818859054
939,6434.03754678801
940,2438.49482545032
941,2980.56273637437
942,9863.44858838784
943,10636.8104127417
944,6304.70069640867
945,1777.72854209397
946,6413.0309743594
947,2176.36266731713
948,1991.95613141436
949,2423.294366184
950,5951.36494658863
951,2470.51381204284
952,5735.34144923393
953,6305.07178770492
954,2316.41613095142
955,6228.33417830002
956,9709.80412772803
957,11524.9994813716
958,1836.56166276741
959,10564.8964619166
960,19151.8587689633
961,2213.02687752244
962,5957.52691280064
963,6547.22972543777
964,6454.33361610586
965,1868.16760302897
966,18364.6177998333
967,1653.58287603044
968,10215.3599652961
969,15259.9135188803
970,2254.35414414266
971,5748.90103046827
972,5924.41757503623
973,2213.95003868724
974,2022.65611510087
975,5711.22419598746
976,1964.6453007932
977,6983.11410886551
978,2006.5366381383
979,9453.80637850534
980,18590.8296978762
981,1969.34039564334
982,10431.6986722801
983,2362.53840832909
984,2393.95412926628
985,6207.34743220955
986,2713.3114418518
987,1996.23392445585
988,5954.54053938155
989,10122.5871986203
990,2080.45513751184
991,6240.86924690742
992,2309.15024410761
993,6323.59713083967
994,6222.458871834
995,5943.46698662294
996,6440.77315544091
997,2204.04580127907
998,14986.5753380889
999,9818.75263768742
1000,1950.55085342684
1001,6816.36866761281
1002,6421.37792448375
1003,6090.87580021174
1004,7101.71124234056
1005,2192.59231380541
1006,6167.06045967123
1007,2330.71335397645
1008,6026.69964379547
1009,18383.0021521029
1010,6351.82697915708
1011,10672.6349993361
1012,6552.32195959272
1013,5916.84550887122
1014,6118.3430973938
1015,5968.89016959163
1016,2139.4938536163
1017,2069.99651424594
1018,9907.02828663618
1019,10136.5403311689
1020,2206.81860135944
1021,6161.36374846267
1022,6329.42219433017
1023,5888.00582734089
1024,10952.4289944866
1025,13996.7463558838
1026,18087.4468831346
1027,6457.92335412313
1028,5871.08790196059
1029,6276.45437179871
1030,10851.6076006235
1031,5996.4173800506
1032,2385.91171146055
1033,9647.86069697117
